method,noise_label,noise_std_rad,eval_budget,n_evals_used,best_height_m,best_height_cm,theta1_rad,theta2_rad,theta3_rad
BO,clean,0.0,150,150,1.3310867579366015,133.10867579366015,-0.6,1.8,-1.3886573733749952
BO,low_noise,0.025,150,150,1.1085369030732048,110.85369030732049,-0.5794622406363487,1.69027219414711,-1.6794263352639973
BO,high_noise,0.05,150,150,0.9833335093420434,98.33335093420435,-0.5535960517823696,1.543593168258667,-1.0289919185452163
DE,clean,0.0,150,150,1.3201661844310726,132.01661844310726,-0.33782191680684626,1.7211428902558659,-0.8092115105583304
DE,low_noise,0.025,150,150,1.000516503474599,100.05165034745991,-0.5231846609257476,1.0767351823579088,-1.3366830643360745
DE,high_noise,0.05,150,150,0.9891894801960013,98.91894801960012,-0.11778028856493655,1.5973166653772923,-0.9910464274394288
CMA-ES,clean,0.0,150,150,1.3211791107104267,132.11791107104267,-0.590014226372583,1.7997031958721539,-1.3408725300921125
CMA-ES,low_noise,0.025,150,150,1.0300277213639768,103.00277213639768,-0.5853334159080834,1.7497404810373194,-1.9917060931972936
CMA-ES,high_noise,0.05,150,150,1.031524402237027,103.15244022370268,-0.5853334159080834,1.7497404810373194,-1.9917060931972936
GROUND_TRUTH,clean,0.0,6585,6585,1.3310869125944855,133.10869125944856,-0.6,1.8,-1.3882861232378187
