method,noise_label,noise_std_rad,eval_budget,n_evals_used,best_height_m,best_height_cm,theta1_rad,theta2_rad,theta3_rad
BO,clean,0.0,150,150,0.7862137393590759,78.62137393590758,-0.6,1.8,-1.3836965566951056
BO,low_noise,0.02,150,150,0.6029402222672586,60.294022226725865,-0.3705493400804698,1.5631748244166375,-0.9974358730949462
BO,high_noise,0.05,150,150,0.7080349222955937,70.80349222955937,-0.3759872904978693,1.781749777495861,-1.293320069741458
DE,clean,0.0,150,150,0.760194906769573,76.0194906769573,-0.33782191680684626,1.7211428902558659,-0.8092115105583304
DE,low_noise,0.02,150,150,0.6209325142741794,62.09325142741794,-0.5231846609257476,1.0767351823579088,-1.3366830643360745
DE,high_noise,0.05,150,150,0.6327158464679511,63.27158464679511,-0.11778028856493655,1.5973166653772923,-0.9910464274394288
CMA-ES,clean,0.0,150,150,0.7855892129199411,78.55892129199411,-0.5988134956973782,1.799539473525958,-1.3795648466720225
CMA-ES,low_noise,0.02,150,150,0.658550376140138,65.8550376140138,-0.5853334159080834,1.7497404810373194,-1.9917060931972936
CMA-ES,high_noise,0.05,150,150,0.6617399668624023,66.17399668624023,-0.5507884882654346,1.5994952935304385,-1.6015686840031151
GROUND_TRUTH,clean,0.0,6560,6560,0.7862137452168452,78.62137452168452,-0.6,1.8,-1.3835818874426398
